Dish Name,Ingredients Used,Price,Time Consumed,Menu Group
Dessert Combo,"capsicum, potato, flour",176.29,43,Combo
Chicken Biryani,"carrot, flour, cucumber, corn",550.25,11,Non-Veg
Fruit Custard,"ginger, lentils, pepper, chicken, capsicum",440.65,19,Combo
Bhindi Masala,"garlic, tomato, milk, corn, onion",167.09,39,Veg
Shahi Paneer,"broccoli, capsicum, pepper",591.84,35,Veg
Beef Vindaloo,"tomato, ginger, milk, beef, basil",521.87,22,Non-Veg
Masala Chai,"noodles, carrot, paneer, lentils",344.13,33,Beverage
Chicken Korma,"yogurt, cucumber, tomato",360.84,6,Non-Veg
Naan Basket,"mushroom, rice, egg, flour",583.79,20,Combo
Chicken Tikka Masala,"cucumber, mushroom, beef",126.17,9,Non-Veg
Chilli Paneer,"onion, broccoli, rice, cheese, egg",393.91,35,Veg
Chicken Biryani,"fish, butter, chicken, tomato",434.88,39,Non-Veg
Beef Stir Fry,"cheese, chicken, cream, fish",480.48,8,Non-Veg
Rasgulla,"tomato, broccoli, rice",242.43,39,Dessert
Paneer Bhurji,"ginger, garlic, milk, onion, broccoli",215.8,31,Veg
Rice Kheer,"pepper, corn, butter, basil, spinach",625.26,42,Dessert
Onion Bhaji,"ginger, butter, chicken, yogurt, cheese",231.62,9,Starter
Jalebi,"yogurt, cheese, spinach, paneer, broccoli",190.81,11,Starter
Chicken 65,"butter, broccoli, noodles, onion",452.19,25,Non-Veg
Methi Malai Paneer,"oregano, chicken, broccoli",218.63,15,Veg
Aloo Gobi,"cucumber, spinach, carrot, yogurt",373.21,25,Veg
Ice Cream Sundae,"yogurt, onion, chicken",595.49,24,Beverage
Naan Basket,"onion, fish, milk, beef",635.1,38,Combo
Masala Chai,"cheese, chicken, garlic",148.38,41,Beverage
Methi Malai Paneer,"flour, oregano, garlic, cheese",575.23,22,Veg
Chicken Korma,"flour, spinach, cheese",137.97,36,Non-Veg
Butter Milk,"paneer, fish, rice, cheese, oregano",537.43,12,Beverage
Chicken Do Pyaza,"butter, cheese, milk, garlic, lentils",628.31,13,Non-Veg
Egg Curry,"milk, spinach, beef, cheese",272.0,32,Non-Veg
Ice Cream Sundae,"spinach, milk, egg, potato",312.2,26,Veg
Ice Cream Sundae,"mushroom, tomato, spinach, lentils, cream",609.14,28,Non-Veg
Chicken Seekh Kebab,"yogurt, onion, egg",412.05,42,Non-Veg
Veg Manchurian,"potato, egg, fish, basil",169.95,29,Veg
Veg Manchurian,"mushroom, lentils, basil, broccoli",151.81,21,Veg
Family Meal Deal,"cheese, egg, milk",208.39,32,Veg
Gajar Halwa,"lentils, fish, cream, mushroom, onion",376.84,27,Dessert
Veg Thali,"mushroom, chicken, potato, cream",543.25,7,Veg
Chicken 65,"paneer, egg, garlic, rice",371.72,28,Non-Veg
Hara Bhara Kebab,"egg, noodles, fish, carrot",606.23,12,Starter
Samosa,"tomato, mushroom, beef, pepper",507.74,16,Starter
Egg Curry,"cream, basil, beef",370.22,23,Non-Veg
Fish Amritsari,"chicken, capsicum, fish, ginger, oregano",142.21,9,Non-Veg
Paneer Tikka Masala,"fish, carrot, ginger, capsicum",307.16,40,Veg
Filter Coffee,"broccoli, cucumber, lentils, corn",595.62,27,Beverage
Beef Stir Fry,"garlic, broccoli, egg, cucumber",503.53,13,Non-Veg
Veg Thali,"yogurt, butter, beef, capsicum",164.37,42,Veg
Egg Curry,"corn, yogurt, onion, flour",455.76,11,Non-Veg
Onion Bhaji,"milk, cucumber, mushroom",341.34,43,Starter
Fresh Lime Soda,"egg, cucumber, paneer, corn",340.35,14,Starter
Bhindi Masala,"fish, spinach, mushroom",171.64,38,Combo
Bhindi Masala,"egg, lentils, oregano",625.23,23,Non-Veg
Shahi Paneer,"corn, spinach, yogurt",475.97,34,Veg
Veg Spring Rolls,"carrot, paneer, tomato",257.01,31,Veg
Fish Amritsari,"carrot, basil, flour",377.26,5,Non-Veg
Fish Curry,"flour, capsicum, pepper",405.59,29,Non-Veg
Aloo Gobi,"paneer, tomato, butter, lentils, corn",615.83,45,Veg
Chicken Seekh Kebab,"spinach, flour, chicken, tomato",431.11,17,Non-Veg
Mushroom Masala,"yogurt, basil, carrot, beef, cream",438.24,15,Dessert
Gajar Halwa,"basil, broccoli, butter, spinach",190.19,26,Dessert
Ice Cream Sundae,"onion, noodles, cream, capsicum",168.25,35,Beverage
Beef Vindaloo,"egg, corn, beef, paneer, capsicum",382.36,23,Non-Veg
Chicken Do Pyaza,"potato, flour, mushroom",536.48,33,Non-Veg
Beef Stir Fry,"pepper, tomato, cheese",390.91,22,Non-Veg
Non-Veg Platter,"cucumber, flour, basil",421.59,33,Veg
Green Tea,"rice, egg, lentils, capsicum, pepper",611.9,20,Beverage
Aloo Gobi,"chicken, butter, tomato, garlic, egg",343.47,15,Veg
Paneer Pakora,"noodles, corn, chicken, tomato",286.54,34,Veg
Mutton Rogan Josh,"cucumber, chicken, garlic, flour",556.91,13,Non-Veg
Dal Makhani,"carrot, cucumber, oregano, corn, egg",231.07,13,Veg
Chicken Korma,"noodles, onion, chicken",540.82,9,Non-Veg
Fish Amritsari,"cheese, capsicum, beef",293.99,43,Non-Veg
Mushroom Masala,"basil, cucumber, butter, noodles, ginger",282.68,10,Starter
Butter Milk,"onion, chicken, egg",374.01,14,Beverage
Mix Vegetable,"broccoli, carrot, onion, lentils",155.37,41,Veg
Egg Curry,"basil, broccoli, corn, potato, chicken",311.65,28,Non-Veg
Hara Bhara Kebab,"carrot, spinach, capsicum, yogurt",448.76,7,Starter
Chicken Korma,"chicken, spinach, cucumber",636.28,11,Non-Veg
Family Meal Deal,"cheese, egg, rice, broccoli",386.41,14,Main Course
Paneer + Chicken Combo,"capsicum, onion, butter",479.22,5,Veg
Veg Manchurian,"yogurt, cream, lentils, garlic",380.52,22,Veg
Samosa,"spinach, chicken, paneer, oregano, cucumber",258.44,32,Non-Veg
Palak Paneer,"mushroom, basil, fish, garlic",644.85,5,Veg
Cold Coffee,"flour, egg, noodles, cucumber",603.13,31,Beverage
Palak Paneer,"spinach, beef, cheese, potato, egg",263.6,12,Veg
Hara Bhara Kebab,"fish, spinach, yogurt",247.84,34,Starter
Paneer Butter Masala,"cream, carrot, broccoli, flour, garlic",538.2,25,Veg
Badam Milk,"flour, mushroom, milk, spinach, pepper",292.19,23,Beverage
Chicken Tikka Masala,"pepper, ginger, cucumber, onion, spinach",195.23,37,Non-Veg
