Dish Name,Ingredients Used,Price,Time Consumed,Menu Group
Creamy Paneer Do Pyaza,"fish, tomato, onion, spices",211.11,11,Beverage
Bhindi Masala,"paneer, butter, cream, tomato, onion",101.84,18,Veg
Mushroom Masala,"potato, cauliflower, spices",452.18,39,Veg
Chicken Tikka,"lentils, butter, cream, tomato",542.33,5,Non-Veg
Tandoori Chicken,"mushroom, capsicum, onion, garlic",242.0,18,Non-Veg
Tandoori Fruit Custard,"chicken, butter, cream, tomato, spices",287.82,27,Dessert
Cheese Corn Balls,"potato, cauliflower, spices",344.58,12,Starter
Malai Kofta,"flour, garlic, butter",440.18,28,Dessert
Chicken Vindaloo,"paneer, butter, cream, tomato, onion",458.61,23,Non-Veg
Veg Samosa,"rice, yogurt, spices, saffron",242.06,45,Combo
Creamy Badam Halwa,"fish, tomato, onion, spices",463.65,9,Dessert
Chicken 65,"fish, tomato, onion, spices",177.32,29,Non-Veg
Chicken Tikka,"flour, garlic, butter",519.1,8,Non-Veg
Aloo Gobi,"rice, yogurt, spices, saffron",236.27,18,Dessert
Tandoori Jalebi,"rice, yogurt, spices, saffron",584.85,34,Dessert
Spicy Cheese Corn Balls,"milk, sugar, rose water",233.45,42,Starter
Butter Milk,"spinach, paneer, cream, garlic",372.88,10,Beverage
Chana Masala,"spinach, paneer, cream, garlic",439.51,32,Dessert
Methi Malai Paneer,"mango, yogurt, sugar",647.81,38,Main Course
Palak Paneer,"chicken, butter, cream, tomato, spices",470.17,39,Combo
Papdi Chaat,"mushroom, capsicum, onion, garlic",148.03,32,Non-Veg
Creamy Non-Veg Thali,"milk, sugar, rose water",515.51,37,Veg
Ras Malai,"milk, sugar, rose water",429.07,14,Dessert
Tandoori Chicken,"okra, onion, tomato, garlic",606.18,5,Non-Veg
Mango Kulfi,"chicken, butter, cream, tomato, spices",609.94,24,Dessert
Spicy Veg Korma,"chicken, butter, cream, tomato, spices",133.39,36,Combo
Methi Malai Paneer,"milk, sugar, rose water",517.7,13,Beverage
Executive Lunch,"spinach, paneer, cream, garlic",234.76,43,Starter
