ingredientName,unit,category,costPerUnit,stockQuantity,reorderLevel,usage
Chopped All-purpose Flour,kg,Flour,9.22,57,42,used in pizza
Chopped Basil,pcs,Herb,15.13,41,40,used in grilled dishes
Chopped Basil,L,Herb,7.69,130,12,used in biryani
Chopped Basil,L,Herb,9.89,181,9,used in sauces
Chopped Basmati Rice,L,Grain,3.52,88,21,used in burgers
Chopped Beef,pcs,Meat,10.29,78,11,used in sauces
Chopped Black Pepper,kg,Spice,2.37,137,23,used in desserts
Chopped Brown Rice,mL,Grain,16.58,85,41,used in salads
Chopped Brown Rice,g,Grain,10.33,122,49,used in pizza
Chopped Brown Rice,g,Grain,17.4,186,15,used in grilled dishes
Chopped Brown Rice,g,Grain,8.18,197,18,used in salads
Chopped Butter,g,Dairy,5.87,61,28,used in salads
Chopped Butter,L,Dairy,11.18,86,33,used in stir fry
Chopped Butter,pcs,Dairy,15.19,193,37,used in soups
Chopped Cabbage,g,Vegetable,19.54,134,37,used in biryani
Chopped Cabbage,kg,Vegetable,2.47,45,12,used in biryani
Chopped Cabbage,mL,Vegetable,17.04,109,5,used in desserts
Chopped Carrot,g,Vegetable,2.26,109,40,used in soups
Chopped Carrot,pcs,Vegetable,15.65,195,34,used in burgers
Chopped Carrot,g,Vegetable,4.95,126,38,used in stir fry
Chopped Cheddar Cheese,pcs,Dairy,3.97,145,33,used in sauces
Chopped Cheddar Cheese,g,Dairy,17.22,131,38,used in salads
Chopped Chicken Breast,kg,Poultry,1.69,136,19,used in grilled dishes
Chopped Chicken Thigh,pcs,Poultry,5.69,121,43,used in sauces
Chopped Chicken Thigh,L,Poultry,3.98,124,7,used in sauces
Chopped Chicken Thigh,g,Poultry,12.11,162,32,used in desserts
Chopped Chickpeas,pcs,Legume,13.47,95,27,used in pasta recipes
Chopped Chickpeas,g,Legume,10.25,96,15,used in burgers
Chopped Chickpeas,pcs,Legume,19.93,154,21,used in desserts
Chopped Chili Powder,mL,Spice,5.67,37,9,used in pasta recipes
Chopped Chili Powder,g,Spice,16.36,36,11,used in pizza
Chopped Cilantro,g,Herb,6.69,175,48,used in desserts
Chopped Cilantro,pcs,Herb,0.93,142,31,used in biryani
Chopped Cilantro,mL,Herb,17.38,47,50,used in curry dishes
Chopped Cilantro,mL,Herb,1.98,161,24,used in grilled dishes
Chopped Coriander Powder,kg,Spice,19.48,66,30,used in biryani
Chopped Cumin,mL,Spice,19.06,114,46,used in curry dishes
Chopped Cumin,g,Spice,2.71,157,30,used in pasta recipes
Chopped Cumin,g,Spice,7.01,144,19,used in pasta recipes
Chopped Cumin,pcs,Spice,3.6,30,16,used in curry dishes
Chopped Garlic,L,Vegetable,10.13,86,14,used in curry dishes
Chopped Garlic,L,Vegetable,16.86,151,24,used in salads
Chopped Garlic,mL,Vegetable,5.19,199,28,used in burgers
Chopped Ginger,g,Vegetable,9.05,27,31,used in biryani
Chopped Honey,mL,Sweetener,16.67,101,13,used in curry dishes
Chopped Honey,L,Sweetener,17.47,65,22,used in stir fry
Chopped Honey,L,Sweetener,5.45,188,36,used in salads
Chopped Kidney Beans,mL,Legume,19.71,76,34,used in pizza
Chopped Kidney Beans,L,Legume,19.28,55,7,used in pasta recipes
Chopped Kidney Beans,pcs,Legume,6.5,87,21,used in stir fry
Chopped Lentils,pcs,Legume,14.07,21,23,used in stir fry
Chopped Lentils,kg,Legume,16.76,104,39,used in pasta recipes
Chopped Lentils,mL,Legume,6.75,127,46,used in curry dishes
Chopped Mayonnaise,g,Condiment,16.26,132,39,used in biryani
Chopped Mayonnaise,kg,Condiment,4.51,130,23,used in sauces
Chopped Mayonnaise,mL,Condiment,17.02,77,11,used in pasta recipes
Chopped Milk,L,Dairy,0.63,87,50,used in stir fry
Chopped Mint,L,Herb,12.76,194,40,used in grilled dishes
Chopped Mint,pcs,Herb,17.84,110,35,used in soups
Chopped Mozzarella,g,Dairy,1.94,46,43,used in burgers
Chopped Mozzarella,mL,Dairy,18.76,171,5,used in pasta recipes
Chopped Mozzarella,kg,Dairy,9.03,170,28,used in grilled dishes
Chopped Mustard Oil,kg,Oil,12.03,185,8,used in sauces
Chopped Mustard Oil,L,Oil,1.33,18,50,used in biryani
Chopped Mutton,pcs,Meat,13.67,115,6,used in desserts
Chopped Mutton,g,Meat,13.63,30,50,used in salads
Chopped Mutton,kg,Meat,16.43,112,44,used in sauces
Chopped Mutton,pcs,Meat,15.88,154,44,used in grilled dishes
Chopped Noodles,mL,Pasta,14.32,73,32,used in sauces
Chopped Noodles,pcs,Pasta,9.19,180,16,used in desserts
Chopped Olive Oil,mL,Oil,10.67,10,48,used in pizza
