Dish Name	Ingredients Used	Price	Time Consumed	Menu Group
FoodD_PC5PTG	corn, mushroom, tomato, potato	890.73	31	Veg
FoodD_IX5BDI	carrot, mushroom, chicken, beef	435.25	32	Beverage
FoodD_N5UIU4	lentils, corn, carrot, cream	1148.53	42	Veg
FoodD_Y9I009	capsicum, pepper, spinach, chicken	1116.34	32	Main Course
FoodD_L3TCE3	potato, onion, spinach, mushroom	1154.32	8	Beverage
FoodD_SMGPQ2	basil, mushroom, cream, chicken	870.42	21	Veg
FoodD_OQPIX2	butter, basil, mushroom, paneer	419.66	30	Veg
FoodD_ZVE4JK	lentils, pepper, corn, fish	912.4	23	Combo
FoodD_OMMZ4Y	rice, broccoli, lentils, potato	1000.56	26	Non-Veg
FoodD_59592K	broccoli, flour, butter, paneer	702.18	26	Combo
FoodD_W43EQ2	yogurt, spinach, basil, broccoli	597.93	42	Combo
FoodD_MCEHT5	paneer, lentils, rice, carrot	1021.66	22	Veg
FoodD_B7IZE3	flour, spinach, rice, onion	685.66	40	Veg
FoodD_4UUUCR	capsicum, cream, mushroom, yogurt	157.99	19	Combo
FoodD_YPS8WS	cream, pepper, spinach, basil	501.19	28	Veg
FoodD_DJPE7M	cream, carrot, rice, mushroom	296.0	43	Beverage
FoodD_EZCH1B	pepper, potato, flour, fish	739.76	7	Dessert
FoodD_FNI789	pepper, cream, flour, mushroom	1069.61	10	Combo
FoodD_DHADEE	mushroom, yogurt, broccoli, cream	375.51	6	Combo
FoodD_UBPX6T	paneer, onion, butter, rice	393.09	16	Combo
FoodD_R5DTW4	potato, beef, paneer, tomato	985.17	21	Veg
FoodD_BO4FLL	fish, chicken, oregano, onion	184.03	43	Non-Veg
FoodD_N9U8TL	cream, broccoli, spinach, flour	317.96	18	Non-Veg
FoodD_7KBL86	butter, yogurt, basil, tomato	603.4	5	Non-Veg
FoodD_5B6WZ2	lentils, cream, flour, potato	224.37	45	Veg
FoodD_UI9JRQ	beef, chicken, carrot, butter	417.89	11	Beverage
FoodD_KYG8D9	capsicum, beef, onion, tomato	509.91	28	Dessert
FoodD_QF0CP3	chicken, rice, carrot, butter	927.09	7	Dessert
FoodD_IPP1UC	capsicum, rice, corn, basil	410.37	17	Dessert
FoodD_8RFM4G	yogurt, rice, mushroom, potato	177.29	9	Non-Veg
FoodD_VB5C3T	broccoli, beef, oregano, basil	1152.97	43	Non-Veg
FoodD_0O3WPD	oregano, potato, fish, flour	895.1	34	Combo
FoodD_C270XH	potato, chicken, broccoli, pepper	1109.0	32	Dessert
FoodD_4AGY0R	flour, yogurt, basil, spinach	543.02	35	Dessert
FoodD_6KQCYW	fish, rice, corn, mushroom	890.7	25	Dessert
FoodD_ZOZEBV	onion, broccoli, butter, fish	544.27	42	Veg
FoodD_KUUVAU	beef, oregano, cream, fish	532.13	45	Veg
FoodD_D43RPM	mushroom, paneer, carrot, corn	390.36	34	Non-Veg
FoodD_P7YR8I	spinach, onion, capsicum, fish	973.11	29	Beverage
FoodD_QIUAQD	spinach, corn, cream, lentils	576.8	10	Veg
FoodD_PXU83O	fish, capsicum, pepper, mushroom	171.57	21	Dessert
FoodD_AECAKY	oregano, tomato, yogurt, flour	476.29	27	Dessert
FoodD_BE6R5F	beef, capsicum, yogurt, flour	855.26	43	Dessert
FoodD_B00N6N	carrot, broccoli, lentils, mushroom	765.5	15	Dessert
FoodD_27K4HW	oregano, basil, capsicum, spinach	951.26	10	Non-Veg
FoodD_C7FMQO	lentils, chicken, onion, carrot	375.03	43	Main Course
FoodD_I36IBH	chicken, oregano, spinach, paneer	256.65	18	Beverage
FoodD_J0S8G0	butter, capsicum, chicken, mushroom	188.83	38	Main Course
FoodD_WPVP9V	butter, beef, basil, cream	890.13	30	Combo
FoodD_INN8YD	yogurt, mushroom, paneer, capsicum	1018.65	41	Dessert
FoodD_ST9N8U	cream, yogurt, lentils, corn	1044.52	23	Combo
FoodD_L4FK32	beef, mushroom, yogurt, flour	867.67	22	Combo
FoodD_JAZBDU	yogurt, broccoli, spinach, corn	863.82	11	Veg
FoodD_VP0ZVW	butter, chicken, fish, broccoli	1153.88	18	Main Course
FoodD_0N09YV	rice, broccoli, spinach, beef	912.23	25	Non-Veg
FoodD_3YJYY8	carrot, paneer, pepper, broccoli	565.65	13	Non-Veg
FoodD_L24CQJ	oregano, rice, broccoli, chicken	266.31	35	Beverage
FoodD_ZVM0PC	flour, basil, carrot, beef	1014.29	37	Combo
FoodD_7VTXX3	potato, broccoli, beef, fish	828.87	28	Non-Veg
FoodD_20HFXN	tomato, beef, pepper, carrot	1167.54	23	Beverage
FoodD_36L0QT	chicken, lentils, pepper, rice	902.82	8	Combo
FoodD_1ZNLLK	fish, corn, butter, yogurt	250.33	41	Veg
FoodD_M5DOAS	basil, fish, paneer, butter	1170.83	31	Veg
FoodD_JH9QAH	potato, paneer, pepper, corn	867.26	26	Combo
FoodD_LI1C2S	spinach, broccoli, mushroom, flour	502.44	24	Beverage
FoodD_2GDI9F	oregano, cream, onion, tomato	438.53	38	Main Course
FoodD_3SKSU7	rice, basil, butter, mushroom	747.18	37	Beverage
FoodD_ROD1P7	onion, pepper, chicken, beef	727.55	44	Main Course
FoodD_WUR589	lentils, broccoli, flour, capsicum	622.47	40	Main Course
FoodD_7PK0A7	rice, fish, cream, spinach	370.88	38	Combo
FoodD_3Y9WPB	pepper, spinach, beef, rice	1031.18	28	Main Course
FoodD_0C0U0L	capsicum, beef, flour, rice	403.57	37	Main Course
FoodD_D1NN7U	corn, tomato, pepper, basil	155.13	14	Combo
FoodD_A9Y2Q3	chicken, potato, lentils, carrot	785.06	23	Dessert
FoodD_3AX0TL	potato, tomato, corn, basil	1166.27	26	Non-Veg
FoodD_LT70OX	fish, basil, lentils, yogurt	847.05	5	Main Course
FoodD_MGW0IE	chicken, yogurt, mushroom, cream	750.5	7	Dessert
FoodD_V3B9QC	cream, yogurt, oregano, basil	334.93	26	Dessert
FoodD_6LFQDM	mushroom, chicken, yogurt, cream	1015.39	5	Beverage
FoodD_L4QLZX	onion, yogurt, mushroom, pepper	972.02	15	Non-Veg
FoodD_HECUCF	lentils, mushroom, pepper, chicken	204.66	5	Combo
FoodD_9B1ZZH	beef, lentils, carrot, broccoli	557.37	22	Main Course
