Dish Name,Ingredients,Price,Calories,Category
Gulab Balls,"cashew, ginger, spinach, soy sauce, fish",160.22,17,Beverage
Palak Masala,"lemon, rice, garlic",575.01,21,Veg
Veg Rice,"yogurt, mutton, prawn, garlic, fish",345.84,42,Veg
Gobi Rice,"soy sauce, okra, flour, capsicum, tomato, paneer, saffron",362.27,17,Dessert
Fresh Lime Rice,"cream, paneer, egg, spinach, soy sauce, mutton, potato",532.96,25,Bread
Chole Korma,"spinach, paneer, yogurt, capsicum, mushroom, cream",456.77,25,Bread
Palak Masala,"mutton, mushroom, prawn",664.65,6,Non-Veg
Garlic Lassi,"saffron, capsicum, prawn, butter, cashew",600.83,15,Starter
Butter Bhaji,"mushroom, capsicum, garlic, cashew, cream",632.3,41,Non-Veg
Jeera Thali,"saffron, mutton, lemon, lentils, cashew, butter",470.16,15,Starter
Chicken Pulao,"fish, chicken, prawn, rose water",525.44,41,Veg
Prawn Korma,"spices, prawn, soy sauce, garlic, tomato, rose water, spinach",634.74,49,Dessert
Mutton Lassi,"fish, mushroom, tomato, flour, okra",147.57,16,Combo
Malai Samosa,"chicken, okra, onion, spices, cashew, ginger, sugar",410.54,36,Non-Veg
Gobi Korma,"saffron, yogurt, rice",504.55,25,Dessert
Garlic Balls,"lentils, fish, soy sauce",678.91,35,Veg
Garlic Curry,"fish, rose water, nuts, noodles, soy sauce",300.05,16,Bread
Chole Korma,"rose water, nuts, fish",679.9,47,Dessert
Hara Bhara Naan,"rose water, lemon, yogurt",300.55,23,Combo
Hara Bhara Tikka,"okra, milk, saffron",533.49,39,Non-Veg
Palak Biryani,"spices, lentils, rice",186.76,13,Non-Veg
Gulab Lassi,"flour, mutton, mushroom",435.45,36,Starter
Gobi Jamun,"prawn, ginger, cashew, paneer, mutton, potato, onion",233.58,6,Dessert
Prawn Tikka,"cream, noodles, ginger, onion, fish, rose water, mushroom",252.54,20,Beverage
Palak Naan,"cashew, mutton, saffron, spices, milk, okra, yogurt",667.59,10,Main Course
Creamy Balls,"fish, capsicum, prawn, yogurt, saffron, cauliflower, sugar",586.37,5,Starter
Fresh Lime Pulao,"noodles, okra, sugar, rose water",473.48,44,Beverage
Lemon Lassi,"mushroom, flour, prawn, noodles, onion",567.54,30,Main Course
Dal Jamun,"spinach, garlic, cashew, capsicum, sugar, milk, onion",474.59,21,Beverage
Veg Halwa,"mushroom, onion, milk, soy sauce",425.67,18,Combo
Creamy Balls,"cauliflower, rose water, paneer, egg, fish, soy sauce",573.54,21,Bread
Kadai Halwa,"rose water, ginger, fish, okra, spinach, chicken, mushroom",645.82,37,Veg
Fish Balls,"milk, chicken, noodles, potato",345.85,50,Non-Veg
Veg Naan,"onion, cashew, sugar, flour, tomato, mutton, cauliflower",102.33,17,Starter
Fish Lassi,"nuts, mutton, garlic",225.55,21,Veg
Palak Balls,"chicken, cauliflower, rice",128.98,39,Main Course
Gulab Bhaji,"cream, cauliflower, flour, mushroom",373.7,36,Starter
Papdi Samosa,"soy sauce, rice, mushroom, paneer, saffron",381.22,36,Non-Veg
Malai Tikka,"spices, butter, okra, saffron, yogurt, sugar, egg",360.1,34,Bread
Kadai Naan,"cauliflower, rice, mushroom, lentils, okra, spices, sugar",165.44,25,Veg
Chicken Bhaji,"spinach, mushroom, tomato",363.9,8,Veg
Butter Jamun,"sugar, mushroom, tomato, lemon, egg, cream, ginger",173.28,43,Starter
Chole Rice,"soy sauce, potato, onion, rice",171.6,34,Non-Veg
Mutton Curry,"saffron, capsicum, cream",497.71,50,Combo
Tandoori Rice,"mutton, cream, lemon, milk, cauliflower, ginger",535.46,43,Veg
Mango Halwa,"mushroom, mutton, prawn, fish",504.3,41,Dessert
Butter Samosa,"yogurt, rice, potato, mushroom, spinach, onion",525.37,45,Bread
Lemon Thali,"cashew, mushroom, soy sauce, capsicum, saffron, noodles, rice",414.69,22,Starter
